TOTSPACE,LONGITUDE,LATITUDE
129,-79.49365948,43.6654977
72,-79.34717762,43.66541851
24,-79.52899029,43.66514579
62,-79.4912327,43.66509673
49,-79.40072723,43.66458936
72,-79.45947525,43.66453348
96,-79.40111458,43.66394932
30,-79.58631138,43.66378668
136,-79.38484478,43.66363153
141,-79.3791814,43.66361701
14,-79.48981465,43.66354085
56,-79.41763517,43.66349288
80,-79.38770394,43.66348253
45,-79.48689002,43.66317127
96,-79.42973205,43.66312114
116,-79.47214266,43.66285323
66,-79.49944079,43.66285134
71,-79.45242295,43.66283995
39,-79.42622132,43.66263264
16,-79.40239348,43.66254922
24,-79.46008116,43.66253731
112,-79.46008116,43.66253731
65,-79.36834145,43.66237135
85,-79.55154617,43.66215651
20,-79.34868956,43.66208633
16,-79.34868956,43.66208633
39,-79.33989786,43.66192107
39,-79.42574622,43.66186588
137,-79.47283454,43.66143177
40,-79.34132384,43.66136256
25,-79.48558752,43.6611157
70,-79.47452931,43.66110836
115,-79.33333928,43.6610444
160,-79.36695829,43.66083312
54,-79.46919623,43.66064871
56,-79.37409976,43.66062067
32,-79.46276694,43.6605372
46,-79.36887929,43.66053021
123,-79.49105864,43.66046123
62,-79.36586143,43.66033038
149,-79.34016991,43.6601755
36,-79.51113788,43.66010935
110,-79.53948426,43.65992914
40,-79.53948426,43.65992914
72,-79.34992857,43.65985054
30,-79.36390099,43.65971295
105,-79.54502449,43.65964751
24,-79.5660287,43.65948377
52,-79.5660287,43.65948377
59,-79.46739326,43.65939822
39,-79.44340972,43.65939151
16,-79.48501758,43.65934668
82,-79.39119131,43.65901631
41,-79.43514669,43.65869955
107,-79.41884696,43.65869017
120,-79.50931809,43.6586658
40,-79.36429518,43.65864794
167,-79.39226332,43.65863607
131,-79.36060291,43.65835275
146,-79.40741217,43.6582527
65,-79.38047983,43.65776563
185,-79.41406082,43.65765466
110,-79.46159984,43.65751606
75,-79.4473515,43.65720688
16,-79.47458478,43.65710007
16,-79.47458478,43.65710007
24,-79.47921439,43.65681015
74,-79.47921439,43.65681015
15,-79.57672204,43.65664592
24,-79.57672204,43.65664592
137,-79.37232283,43.65659142
97,-79.42458793,43.65655765
78,-79.40384267,43.65645832
83,-79.40573477,43.6564064
84,-79.40384351,43.65626872
128,-79.47748498,43.65593788
64,-79.4873448,43.65567745
89,-79.39425109,43.65557777
36,-79.36173742,43.65549752
76,-79.4839622,43.65545888
14,-79.48699655,43.65487687
23,-79.48698713,43.65485613
46,-79.391295,43.65460007
52,-79.38147634,43.65448664
56,-79.43241783,43.65429218
39,-79.47788242,43.6542418
67,-79.46513513,43.65419187
49,-79.39039714,43.65377431
34,-79.4668385,43.653732
30,-79.45200277,43.65366652
125,-79.42589088,43.65346513
58,-79.57537347,43.65313182
124,-79.41454735,43.65307618
112,-79.43784738,43.65305827
73,-79.50791729,43.6529255
76,-79.38362506,43.65282214
56,-79.42260301,43.65271625
36,-79.56404412,43.65270428
72,-79.42519758,43.65234042
24,-79.42519758,43.65234042
67,-79.43615958,43.65209316
54,-79.39147427,43.65205191
57,-79.38757725,43.65169661
85,-79.4847166,43.6512858
50,-79.4026399,43.65122913
58,-79.4026399,43.65122913
171,-79.42199419,43.65121289
170,-79.6023652,43.6512058
24,-79.47568961,43.65084317
162,-79.45199912,43.6503073
36,-79.39999653,43.65012601
31,-79.52229948,43.65009278
141,-79.39513009,43.6500222
97,-79.38821359,43.65000898
73,-79.37849436,43.64998475
99,-79.36498012,43.64979753
41,-79.36498012,43.64979753
114,-79.36124863,43.64975599
65,-79.38381243,43.64969099
41,-79.56184169,43.64962968
35,-79.45356461,43.6493549
20,-79.42505942,43.64928556
20,-79.39166212,43.64914145
32,-79.50505761,43.64908914
73,-79.48042415,43.64880572
73,-79.54854577,43.64869862
61,-79.40948687,43.64853867
129,-79.43672542,43.64853281
30,-79.57202403,43.6480753
153,-79.51832832,43.6480231
44,-79.36571256,43.64782836
30,-79.39474843,43.64775543
65,-79.37041888,43.64774472
40,-79.37172693,43.64771638
35,-79.52794997,43.6474914
56,-79.37725749,43.64694339
64,-79.56271632,43.64692004
24,-79.44792627,43.64683784
46,-79.44792627,43.64683784
48,-79.55627753,43.64669912
56,-79.54108144,43.64652082
115,-79.38213135,43.64646131
45,-79.41537391,43.64643528
94,-79.41758754,43.64641624
82,-79.45047568,43.64639566
62,-79.38893473,43.64616238
78,-79.51601881,43.64609139
121,-79.4288505,43.64602983
20,-79.39822582,43.64573061
74,-79.52096272,43.64552891
84,-79.5462562,43.64532552
148,-79.4461161,43.64518889
59,-79.38553682,43.64491032
88,-79.58697487,43.64419796
49,-79.41808797,43.64403339
62,-79.39101942,43.64399515
121,-79.40825617,43.64394604
49,-79.56545608,43.6437806
70,-79.57320254,43.64366074
119,-79.53397425,43.64361851
64,-79.44281428,43.64356788
125,-79.4770883,43.64346596
124,-79.44912695,43.64320868
97,-79.43680183,43.64319587
49,-79.3762619,43.64316211
32,-79.40271428,43.64300806
30,-79.50892095,43.64274664
30,-79.50892095,43.64274664
51,-79.45080379,43.64255695
109,-79.50687652,43.64245256
96,-79.38087131,43.64234783
61,-79.38278254,43.64200429
49,-79.41223468,43.64168349
72,-79.40198157,43.64125359
42,-79.53761181,43.64108915
63,-79.39190781,43.64055929
52,-79.38122663,43.64012129
67,-79.427308,43.64004992
16,-79.5193118,43.63967803
24,-79.54894739,43.63938969
25,-79.434911,43.63875022
26,-79.44571457,43.63868725
102,-79.56700571,43.63831653
102,-79.49645019,43.63771518
49,-79.43431002,43.63710271
44,-79.4334034,43.63697589
59,-79.52645659,43.63663703
57,-79.4702129,43.63630489
111,-79.43473266,43.63625894
55,-79.52128233,43.6361386
100,-79.50609133,43.63596628
72,-79.52403798,43.63591866
80,-79.39719083,43.63575739
25,-79.39884237,43.63571043
114,-79.48968772,43.63562731
40,-79.52338393,43.63532791
30,-79.55745999,43.63495127
67,-79.56885561,43.63462796
97,-79.49020078,43.63450843
153,-79.51632975,43.63430526
50,-79.5512794,43.63386641
173,-79.57711952,43.63336228
50,-79.57381148,43.63225586
51,-79.53264929,43.63019477
31,-79.4882532,43.62980479
109,-79.5181702,43.62902494
